source,target,source_type,target_type,edge_type,regulatory_type,weight,mi_value,mi,pearson_r,pearson_p,pearson_p_fdr,miRDB_score,comparison
hsa-let-7f,hsa-miR-15b,miRNA,miRNA,miRNA-miRNA,,0.7132573775234999,,,0.7132573775234999,4.6126311325794065e-06,1.0834948789431391e-05,,
hsa-let-7f,hsa-miR-155,miRNA,miRNA,miRNA-miRNA,,0.7062979620904339,,,0.7062979620904339,6.27258610253568e-06,1.4314363157068603e-05,,
hsa-let-7f,hsa-miR-1274a,miRNA,miRNA,miRNA-miRNA,,0.7057354966276874,,,0.7057354966276874,6.4279208717368855e-06,1.461886603708474e-05,,
hsa-let-7f,hsa-miR-663b,miRNA,miRNA,miRNA-miRNA,,0.7052243378829938,,,0.7052243378829938,6.572101159831808e-06,1.4896018757853079e-05,,
hsa-let-7f,hsa-miR-141,miRNA,miRNA,miRNA-miRNA,,0.7044470874861515,,,0.7044470874861515,6.796958472061168e-06,1.532760060844875e-05,,
hsa-let-7f,hsa-miR-203,miRNA,miRNA,miRNA-miRNA,,0.7035264026411787,,,0.7035264026411787,7.072316232187041e-06,1.5894852137996126e-05,,
hsa-let-7f,hsa-miR-21,miRNA,miRNA,miRNA-miRNA,,0.7011398129054632,,,0.7011398129054632,7.833780526941719e-06,1.739151386385897e-05,,
hsa-let-7f,hsa-miR-200c,miRNA,miRNA,miRNA-miRNA,,0.6849640731512326,,,0.6849640731512326,1.5279179666532737e-05,3.142943737260586e-05,,
hsa-let-7f,hsa-miR-194,miRNA,miRNA,miRNA-miRNA,,0.6816018301466453,,,0.6816018301466453,1.7463644742813553e-05,3.526466292408056e-05,,
hsa-let-7g,hsa-let-7i,miRNA,miRNA,miRNA-miRNA,,0.9685333826216652,,,0.9685333826216652,1.1288782658360391e-19,1.130289363668334e-16,,
hsa-let-7g,hsa-miR-195,miRNA,miRNA,miRNA-miRNA,,0.9613575503103227,,,0.9613575503103227,2.344719778340647e-18,1.0434003013615878e-15,,
hsa-let-7g,hsa-miR-148a,miRNA,miRNA,miRNA-miRNA,,0.9565144493724733,,,0.9565144493724733,1.3342472142700599e-17,4.110507763962762e-15,,
hsa-let-7g,hsa-miR-497,miRNA,miRNA,miRNA-miRNA,,0.9530447094922291,,,0.9530447094922291,4.123235228147731e-17,9.174198382628701e-15,,
hsa-let-7g,hsa-miR-186,miRNA,miRNA,miRNA-miRNA,,0.9484141536707364,,,0.9484141536707364,1.6384609243702472e-16,2.5238600008087848e-14,,
hsa-let-7g,hsa-miR-26b,miRNA,miRNA,miRNA-miRNA,,0.9442790689859154,,,0.9442790689859154,5.066178030726236e-16,6.763347671019526e-14,,
hsa-let-7g,hsa-miR-24,miRNA,miRNA,miRNA-miRNA,,0.9431296005556277,,,0.9431296005556277,6.828717954502825e-16,8.822263034768972e-14,,
hsa-let-7g,hsa-miR-20a+hsa-miR-20b,miRNA,miRNA,miRNA-miRNA,,0.941387714004354,,,0.941387714004354,1.061157577581714e-15,1.2878594237014438e-13,,
hsa-let-7g,hsa-miR-19b,miRNA,miRNA,miRNA-miRNA,,0.936723594465107,,,0.936723594465107,3.2427582094180693e-15,3.246811657179842e-13,,
hsa-let-7g,hsa-miR-374b,miRNA,miRNA,miRNA-miRNA,,0.9273104603143638,,,0.9273104603143638,2.436151439913596e-14,1.5010440795159925e-12,,
